"belief_benef_low","belief_benef_high","max_invest","value_AM_infty"
0.28,0.5,29,6.41616248
0.28,0.52,29,6.4292549056
0.28,0.54,29,6.4410309312
0.28,0.56,29,6.453575952
0.28,0.58,30,6.467401288
0.28,0.6,30,6.480154336
0.28,0.62,30,6.4928717536
0.28,0.64,30,6.5057969504
0.28,0.66,31,6.5186054432
0.28,0.68,31,6.5305744896
0.28,0.7,31,6.543754224
0.28,0.72,31,6.5573919808
0.28,0.74,32,6.570134488
0.28,0.76,32,6.5815040352
0.28,0.78,32,6.5945358672
0.28,0.8,32,6.607149824
0.28,0.82,32,6.6200979056
0.28,0.84,33,6.6334749888
0.28,0.86,33,6.6458776432
0.28,0.88,33,6.6588852896
0.28,0.9,33,6.671764248
0.28,0.92,33,6.6848786944
0.28,0.94,34,6.6978150736
0.28,0.96,34,6.7104205504
0.28,0.98,34,6.7233016864
0.28,1,34,6.732348
0.3,0,21,6.1909064
0.3,0.02,21,6.194878156
0.3,0.04,21,6.195529912
0.3,0.06,21,6.196168844
0.3,0.08,21,6.196741008
0.3,0.1,21,6.20404492
0.3,0.12,22,6.213198584
0.3,0.14,22,6.22219002
0.3,0.16,23,6.231263128
0.3,0.18,23,6.242105308
0.3,0.2,24,6.25462212
0.3,0.22,24,6.266110652
0.3,0.24,25,6.277635984
0.3,0.26,25,6.289650364
0.3,0.28,25,6.301654408
0.3,0.3,26,6.3134665
0.3,0.32,26,6.32523208
0.3,0.34,26,6.33712952
0.3,0.36,27,6.350416952
0.3,0.38,27,6.363014804
0.3,0.4,28,6.37566024
0.3,0.42,28,6.38827424
0.3,0.44,28,6.4008548
0.3,0.46,28,6.41274748
0.3,0.48,29,6.4261362
0.3,0.5,29,6.4382637
0.3,0.52,29,6.450606688
0.3,0.54,30,6.464029344
0.3,0.56,30,6.476806216
0.3,0.58,30,6.489722984
0.3,0.6,30,6.50276076
0.3,0.62,31,6.51541714
0.3,0.64,31,6.527825944
0.3,0.66,31,6.540875804
0.3,0.68,31,6.554037536
0.3,0.7,32,6.56666832
0.3,0.72,32,6.579104496
0.3,0.74,32,6.592551676
0.3,0.76,32,6.604853624
0.3,0.78,32,6.617955648
0.3,0.8,33,6.63092276
0.3,0.82,33,6.644073556
0.3,0.84,33,6.656924904
0.3,0.86,33,6.669744808
0.3,0.88,33,6.683031056
0.3,0.9,34,6.69602058
0.3,0.92,34,6.709295168
0.3,0.94,34,6.722212624
0.3,0.96,34,6.73490852
0.3,0.98,34,6.74795398
0.3,1,34,6.7568284
0.32,0,22,6.21584552
0.32,0.02,22,6.216687784
0.32,0.04,22,6.2176704512
0.32,0.06,22,6.218213096
0.32,0.08,22,6.2188341536
0.32,0.1,22,6.226054432
0.32,0.12,23,6.2352992768
0.32,0.14,23,6.2445837888
0.32,0.16,24,6.2538389216
0.32,0.18,24,6.2644422112
0.32,0.2,24,6.276436112
0.32,0.22,25,6.288278544
0.32,0.24,25,6.2999265632
0.32,0.26,26,6.3117248416
0.32,0.28,26,6.3235085376
0.32,0.3,26,6.33545996
0.32,0.32,27,6.347644336
0.32,0.34,27,6.3599785856
0.32,0.36,27,6.37279912
0.32,0.38,28,6.385320232
0.32,0.4,28,6.398106864
0.32,0.42,28,6.4104794416
0.32,0.44,29,6.4232172064
0.32,0.46,29,6.4358458064
0.32,0.48,29,6.4483800608
0.32,0.5,30,6.46096412
0.32,0.52,30,6.4738212512
0.32,0.54,30,6.4868106816
0.32,0.56,30,6.4997711808
0.32,0.58,31,6.5124879872
0.32,0.6,31,6.525426784
0.32,0.62,31,6.538321736
0.32,0.64,31,6.5513267872
0.32,0.66,31,6.564052512
0.32,0.68,32,6.57724096
0.32,0.7,32,6.590147368
0.32,0.72,32,6.6026905248
0.32,0.74,32,6.6161958656
