"","belief_benef_low","belief_benef_high","value_AM_infty","max_invest"
"664",0.26,0,6,0
"665",0.26,0.02,6,0
"666",0.26,0.04,6,0
"667",0.26,0.06,6,0
"668",0.26,0.08,6,0
"669",0.26,0.1,6,0
"670",0.26,0.12,6,0
"671",0.26,0.14,6,0
"672",0.26,0.16,6.01043577981651,0
"673",0.26,0.18,6.02320814220184,0
"674",0.26,0.2,6.03598050458716,2.32833957308849
"675",0.26,0.22,6.04875286697248,6.00682774583542
"676",0.26,0.24,6.0615252293578,8.65119264884848
"677",0.26,0.26,6.07429759174312,10.7170665769534
"678",0.26,0.28,6.08706995412844,12.4126744214639
"679",0.26,0.3,6.09984231651376,13.8507837970296
"680",0.26,0.32,6.11261467889908,15.0993899683064
"681",0.26,0.34,6.1253870412844,16.2026703689251
"682",0.26,0.36,6.13815940366973,17.1909545312841
"683",0.26,0.38,6.15093176605505,18.085968112944
"684",0.26,0.4,6.16370412844037,18.9038079086284
"685",0.26,0.42,6.17647649082569,19.6567326989643
"686",0.26,0.44,6.18924885321101,20.3542940703871
"687",0.26,0.46,6.20202121559633,21.0040791808186
"688",0.26,0.48,6.21479357798165,21.6122150573115
"689",0.26,0.5,6.22756594036697,22.1837207816084
"690",0.26,0.52,6.24033830275229,22.7227595031614
"691",0.26,0.54,6.25311066513762,23.232822637693
"692",0.26,0.56,6.26588302752294,23.7168670353777
"693",0.26,0.58,6.27865538990826,24.1774188308485
"694",0.26,0.6,6.29142775229358,24.6166532383324
"695",0.26,0.62,6.3042001146789,25.0364566831416
"696",0.26,0.64,6.31697247706422,25.4384757633469
"697",0.26,0.66,6.32974483944954,25.8241562557157
"698",0.26,0.68,6.34251720183486,26.1947745005265
"699",0.26,0.7,6.35528956422018,26.5514628851153
"700",0.26,0.72,6.36806192660551,26.895230709569
"701",0.26,0.74,6.38083428899083,27.2269814037026
"702",0.26,0.76,6.39360665137615,27.5475268351633
"703",0.26,0.78,6.40637901376147,27.8575992791955
"704",0.26,0.8,6.41915137614679,28.1578614941655
"705",0.26,0.82,6.43192373853211,28.4489152515603
"706",0.26,0.84,6.44469610091743,28.731308596502
"707",0.26,0.86,6.45746846330275,29.0055420589563
"708",0.26,0.88,6.47024082568807,29.2720739925157
"709",0.26,0.9,6.48301318807339,29.5313251837933
"710",0.26,0.92,6.49578555045872,29.7836828488364
"711",0.26,0.94,6.50855791284404,30.02950411185
"712",0.26,0.96,6.52133027522936,30.2691190446753
"713",0.26,0.98,6.53410263761468,30.5028333319417
"714",0.26,1,6.546875,30.7309306158847
"715",0.28,0,6,0
"716",0.28,0.02,6,0
"717",0.28,0.04,6,0
"718",0.28,0.06,6,0
"719",0.28,0.08,6,0
"720",0.28,0.1,6,0
"721",0.28,0.12,6,0
"722",0.28,0.14,6,0
"723",0.28,0.16,6.01043577981651,0
"724",0.28,0.18,6.02320814220184,0
"725",0.28,0.2,6.03598050458716,2.32833957308849
"726",0.28,0.22,6.04875286697248,6.00682774583505
"727",0.28,0.24,6.0615252293578,8.65119264884848
"728",0.28,0.26,6.07429759174312,10.7170665769534
"729",0.28,0.28,6.08706995412844,12.4126744214639
"730",0.28,0.3,6.09984231651376,13.8507837970296
"731",0.28,0.32,6.11261467889908,15.0993899683064
"732",0.28,0.34,6.1253870412844,16.202670368925
"733",0.28,0.36,6.13815940366973,17.1909545312841
"734",0.28,0.38,6.15093176605505,18.085968112944
"735",0.28,0.4,6.16370412844037,18.9038079086284
"736",0.28,0.42,6.17647649082569,19.6567326989643
"737",0.28,0.44,6.18924885321101,20.3542940703869
"738",0.28,0.46,6.20202121559633,21.0040791808186
"739",0.28,0.48,6.21479357798165,21.6122150573116
"740",0.28,0.5,6.22756594036697,22.1837207816084
"741",0.28,0.52,6.24033830275229,22.7227595031614
"742",0.28,0.54,6.25311066513762,23.232822637693
"743",0.28,0.56,6.26588302752294,23.7168670353777
"744",0.28,0.58,6.27865538990826,24.1774188308485
"745",0.28,0.6,6.29142775229358,24.6166532383324
"746",0.28,0.62,6.3042001146789,25.0364566831416
"747",0.28,0.64,6.31697247706422,25.4384757633469
"748",0.28,0.66,6.32974483944954,25.8241562557157
"749",0.28,0.68,6.34251720183486,26.1947745005265
"750",0.28,0.7,6.35528956422018,26.5514628851153
"751",0.28,0.72,6.3680619266055,26.895230709569
"752",0.28,0.74,6.38083428899083,27.2269814037026
"753",0.28,0.76,6.39360665137615,27.5475268351634
"754",0.28,0.78,6.40637901376147,27.8575992791955
"755",0.28,0.8,6.41915137614679,28.1578614941655
"756",0.28,0.82,6.43192373853211,28.4489152515603
"757",0.28,0.84,6.44469610091743,28.731308596502
"758",0.28,0.86,6.45746846330275,29.0055420589564
"759",0.28,0.88,6.47024082568807,29.2720739925157
"760",0.28,0.9,6.48301318807339,29.5313251837933
"761",0.28,0.92,6.49578555045871,29.7836828488364
"762",0.28,0.94,6.50855791284404,30.02950411185
"763",0.28,0.96,6.52133027522936,30.2691190446754
"764",0.28,0.98,6.53410263761468,30.5028333319417
"765",0.28,1,6.546875,30.7309306158847
"766",0.3,0,6.00113122171946,0
"767",0.3,0.02,6.00113122171946,0
"768",0.3,0.04,6.00113122171946,0
"769",0.3,0.06,6.00113122171946,0
"770",0.3,0.08,6.00113122171946,0
"771",0.3,0.1,6.00113122171946,0
"772",0.3,0.12,6.00113122171946,0
"773",0.3,0.14,6.00113122171946,0
"774",0.3,0.16,6.01043577981651,0
"775",0.3,0.18,6.02320814220183,0
"776",0.3,0.2,6.03598050458716,2.32833957308849
"777",0.3,0.22,6.04875286697248,6.00682774583505
"778",0.3,0.24,6.0615252293578,8.65119264884848
"779",0.3,0.26,6.07429759174312,10.7170665769534
"780",0.3,0.28,6.08706995412844,12.4126744214639
"781",0.3,0.3,6.09984231651376,13.8507837970296
"782",0.3,0.32,6.11261467889908,15.0993899683064
"783",0.3,0.34,6.1253870412844,16.202670368925
"784",0.3,0.36,6.13815940366972,17.190954531284
"785",0.3,0.38,6.15093176605505,18.0859681129441
"786",0.3,0.4,6.16370412844037,18.9038079086283
"787",0.3,0.42,6.17647649082569,19.6567326989643
"788",0.3,0.44,6.18924885321101,20.3542940703871
"789",0.3,0.46,6.20202121559633,21.0040791808186
"790",0.3,0.48,6.21479357798165,21.6122150573115
"791",0.3,0.5,6.22756594036697,22.1837207816084
"792",0.3,0.52,6.24033830275229,22.7227595031614
"793",0.3,0.54,6.25311066513761,23.232822637693
"794",0.3,0.56,6.26588302752294,23.7168670353777
"795",0.3,0.58,6.27865538990826,24.1774188308485
"796",0.3,0.6,6.29142775229358,24.6166532383324
"797",0.3,0.62,6.3042001146789,25.0364566831416
"798",0.3,0.64,6.31697247706422,25.4384757633469
"799",0.3,0.66,6.32974483944954,25.8241562557157
"800",0.3,0.68,6.34251720183486,26.1947745005265
"801",0.3,0.7,6.35528956422018,26.5514628851153
"802",0.3,0.72,6.36806192660551,26.895230709569
"803",0.3,0.74,6.38083428899083,27.2269814037026
"804",0.3,0.76,6.39360665137615,27.5475268351633
"805",0.3,0.78,6.40637901376147,27.8575992791955
"806",0.3,0.8,6.41915137614679,28.1578614941654
"807",0.3,0.82,6.43192373853211,28.4489152515603
"808",0.3,0.84,6.44469610091743,28.731308596502
"809",0.3,0.86,6.45746846330275,29.0055420589563
"810",0.3,0.88,6.47024082568807,29.2720739925157
"811",0.3,0.9,6.48301318807339,29.5313251837933
"812",0.3,0.92,6.49578555045872,29.7836828488364
"813",0.3,0.94,6.50855791284404,30.02950411185
"814",0.3,0.96,6.52133027522936,30.2691190446754
"815",0.3,0.98,6.53410263761468,30.5028333319417
"816",0.3,1,6.546875,30.7309306158847
"817",0.32,0,6.03051066580478,0
"818",0.32,0.02,6.03051066580478,0
"819",0.32,0.04,6.03051066580478,0
"820",0.32,0.06,6.03051066580478,0
"821",0.32,0.08,6.03051066580478,0
"822",0.32,0.1,6.03051066580478,0
"823",0.32,0.12,6.03051066580478,0
"824",0.32,0.14,6.03051066580478,0
"825",0.32,0.16,6.03538206896552,2.11545166915651
"826",0.32,0.18,6.04706344827586,5.59464767523905
"827",0.32,0.2,6.05874482758621,8.13499241065211
"828",0.32,0.22,6.07042620689655,10.136976504121
"829",0.32,0.24,6.0821075862069,11.7893561669816
"830",0.32,0.26,6.09378896551724,13.1962709864173
"831",0.32,0.28,6.10547034482759,14.4213052614558
"832",0.32,0.3,6.11715172413793,15.5061465801079
"833",0.32,0.32,6.12883310344828,16.4796125422596
"834",0.32,0.34,6.14051448275862,17.3624575995494
"835",0.32,0.36,6.15219586206897,18.1701261726515
"836",0.32,0.38,6.16387724137931,18.9144225876336
"837",0.32,0.4,6.17555862068966,19.6045721297935
"838",0.32,0.42,6.18724,20.2479216108144
"839",0.32,0.44,6.19892137931035,20.8504171119591
"840",0.32,0.46,6.21060275862069,21.4169388866889
"841",0.32,0.48,6.22228413793103,21.9515417932391
"842",0.32,0.5,6.23396551724138,22.4576315345169
"843",0.32,0.52,6.24564689655172,22.9380962333703
"844",0.32,0.54,6.25732827586207,23.395406273722
"845",0.32,0.56,6.26900965517241,23.8316911710536
"846",0.32,0.58,6.28069103448276,24.2487995361161
"847",0.32,0.6,6.2923724137931,24.6483464066261
"848",0.32,0.62,6.30441144307038,25.0432488450935
"849",0.32,0.64,6.31699289821978,25.4391050899948
"850",0.32,0.66,6.32974483944954,25.8241562557157
"851",0.32,0.68,6.34251720183486,26.1947745005265
"852",0.32,0.7,6.35528956422018,26.5514628851153
"853",0.32,0.72,6.3680619266055,26.895230709569
"854",0.32,0.74,6.38083428899083,27.2269814037026
"855",0.32,0.76,6.39360665137615,27.5475268351633
"856",0.32,0.78,6.40637901376147,27.8575992791955
"857",0.32,0.8,6.41915137614679,28.1578614941654
"858",0.32,0.82,6.43192373853211,28.4489152515603
"859",0.32,0.84,6.44469610091743,28.7313085965019
"860",0.32,0.86,6.45746846330275,29.0055420589564
"861",0.32,0.88,6.47024082568807,29.2720739925157
"862",0.32,0.9,6.48301318807339,29.5313251837932
"863",0.32,0.92,6.49578555045872,29.7836828488364
"864",0.32,0.94,6.50855791284404,30.02950411185
"865",0.32,0.96,6.52133027522936,30.2691190446754
"866",0.32,0.98,6.53410263761468,30.5028333319417
