"","belief_benef_low","belief_benef_high","value_AM_infty","max_invest"
"1418",0.54,0.8,6.81675172413793,34.5903322664865
"1419",0.54,0.82,6.83027655172414,34.7479355284126
"1420",0.54,0.84,6.84380137931034,34.9029644519273
"1421",0.54,0.86,6.85732620689655,35.0555017871891
"1422",0.54,0.88,6.87085103448276,35.2056263574746
"1423",0.54,0.9,6.88437586206897,35.3534133037803
"1424",0.54,0.92,6.89790068965517,35.4989343106694
"1425",0.54,0.94,6.91142551724138,35.6422578150665
"1426",0.54,0.96,6.92495034482759,35.7834491995195
"1427",0.54,0.98,6.93847517241379,35.9225709712964
"1428",0.54,1,6.952,36.0596829285447
"1429",0.56,0,6.40455074337427,27.813831089266
"1430",0.56,0.02,6.40455074337427,27.813831089266
"1431",0.56,0.04,6.40455074337427,27.813831089266
"1432",0.56,0.06,6.40455074337427,27.813831089266
"1433",0.56,0.08,6.40455074337427,27.813831089266
"1434",0.56,0.1,6.40455074337427,27.8138310892661
"1435",0.56,0.12,6.40455074337427,27.813831089266
"1436",0.56,0.14,6.40455074337427,27.813831089266
"1437",0.56,0.16,6.41291862068966,28.0125235766214
"1438",0.56,0.18,6.42661103448276,28.3289327726746
"1439",0.56,0.2,6.44030344827586,28.6351332378706
"1440",0.56,0.22,6.45399586206897,28.9317631898937
"1441",0.56,0.24,6.46768827586207,29.2194028070308
"1442",0.56,0.26,6.48138068965517,29.4985810590676
"1443",0.56,0.28,6.49507310344828,29.7697815618971
"1444",0.56,0.3,6.50876551724138,30.0334476186375
"1445",0.56,0.32,6.52245793103448,30.2899865792397
"1446",0.56,0.34,6.53615034482759,30.5397736262415
"1447",0.56,0.36,6.54984275862069,30.7831550749904
"1448",0.56,0.38,6.56353517241379,31.020451261195
"1449",0.56,0.4,6.5772275862069,31.2519590762201
"1450",0.56,0.42,6.59092,31.4779542004648
"1451",0.56,0.44,6.6046124137931,31.6986930769684
"1452",0.56,0.46,6.61830482758621,31.9144146606778
"1453",0.56,0.48,6.63199724137931,32.1253419732991
"1454",0.56,0.5,6.64568965517241,32.3316834890989
"1455",0.56,0.52,6.65938206896552,32.5336343732432
"1456",0.56,0.54,6.67307448275862,32.7313775911114
"1457",0.56,0.56,6.68676689655172,32.9250849043886
"1458",0.56,0.58,6.70045931034483,33.1149177675274
"1459",0.56,0.6,6.71415172413793,33.3010281363013
"1460",0.56,0.62,6.72784413793103,33.4835591985979
"1461",0.56,0.64,6.74153655172414,33.6626460362548
"1462",0.56,0.66,6.75522896551724,33.8384162256033
"1463",0.56,0.68,6.76892137931035,34.0109903834067
"1464",0.56,0.7,6.78261379310345,34.1804826640463
"1465",0.56,0.72,6.79630620689655,34.3470012130858
"1466",0.56,0.74,6.80999862068965,34.5106485817305
"1467",0.56,0.76,6.82369103448276,34.671522106156
"1468",0.56,0.78,6.83738344827586,34.8297142552217
"1469",0.56,0.8,6.85107586206897,34.985312949679
"1470",0.56,0.82,6.86476827586207,35.1384018556333
"1471",0.56,0.84,6.87846068965517,35.2890606547117
"1472",0.56,0.86,6.89215310344828,35.4373652931213
"1473",0.56,0.88,6.90584551724138,35.5833882115466
"1474",0.56,0.9,6.91953793103448,35.7271985576283
